,Scientific Name,Common Name,Species Code,Population Code,Lead Region,Federal Listing Status,Where Listed
297,Cacatua sulphurea,Yellow-crested cockatoo,B0GS,V01,Foreign,Endangered,Wherever found
298,Caiman crocodilus apaporiensis,Apaporis River caiman,C00X,V01,Foreign,Endangered,Wherever found
299,Caiman crocodilus crocodilus,Common caiman,C069,V01,Foreign,Similarity of Appearance to a Threatened Taxon,Wherever found
300,Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Brown Caiman,C068,V01,Foreign,Similarity of Appearance to a Threatened Taxon,Wherever found
301,Caiman latirostris,Broad-snouted caiman,C00Z,V02,Foreign,Threatened,Argentina DPS
302,Caiman latirostris,Broad-snouted caiman,C00Z,V03,Foreign,Endangered,"Bolivia, Brazil, Paraguay, and Uruguay"
303,Caiman yacare,Yacare Caiman,C004,V01,Foreign,Threatened,Wherever found
304,Cairina scutulata,White-winged wood duck,B01D,V01,Foreign,Endangered,Wherever found
305,Calamagrostis expansa,Maui reedgrass,Q306,P01,1,Endangered,Wherever found
306,Calamagrostis hillebrandii,Hillegrand's reedgrass,Q3HF,P01,1,Endangered,Wherever found
307,Calidris canutus rufa,Red knot,B0DM,V01,5,Threatened,Wherever found
308,Callaeas cinerea,Kokako (wattlebird),B020,V01,Foreign,Endangered,Wherever found
309,Callicarpa ampla,Capa rosa,Q26J,P01,4,Endangered,Wherever found
310,Callimico goeldii,Goeldi's marmoset,A01Q,V01,Foreign,Endangered,Wherever found
311,Callirhoe scabriuscula,Texas poppy-mallow,Q1TT,P01,2,Endangered,Wherever found
312,Callithrix aurita (=jacchus a.),White-eared (=buffy tufted-ear) marmoset,A0FL,V01,Foreign,Endangered,Wherever found
313,Callithrix flaviceps,Buff-headed marmoset,A0A2,V01,Foreign,Endangered,Wherever found
314,Callophrys mossii bayensis,San Bruno elfin butterfly,I00Q,I01,8,Endangered,Wherever found
315,Calochortus tiburonensis,Tiburon mariposa lily,Q1TU,P01,8,Threatened,Wherever found
316,Caloprymnus campestris,Desert (=plain) rat-kangaroo,A03K,V01,Foreign,Endangered,Wherever found
317,Calyptranthes thomasiana,No common name,Q26L,P01,4,Endangered,Wherever found
318,Calyptridium pulchellum,Mariposa pussypaws,Q0AS,P01,8,Threatened,Wherever found
319,Calyptronoma rivalis,Palma de manaca,Q26M,P01,4,Threatened,Wherever found
320,Calystegia stebbinsii,Stebbins' morning-glory,Q0AU,P01,8,Endangered,Wherever found
321,Camarhynchus pauper,Floreana tree-Finch,B0B6,V01,Foreign,Endangered,Wherever found
322,Cambarus aculabrum,Benton County cave crayfish,K02J,I01,4,Endangered,Wherever found
323,Cambarus callainus,Big Sandy crayfish,K03K,I01,5,Threatened,Wherever found
324,Cambarus veteranus,Guyandotte River crayfish,K08X,I01,5,Endangered,Wherever found
325,Cambarus zophonastes,Hell Creek Cave crayfish,K02H,I01,4,Endangered,Wherever found
326,Camelus bactrianus,Bactrian camel,A04U,V01,Foreign,Endangered,Wherever found
327,Camissonia benitensis,San Benito evening-primrose,Q26O,P01,8,Threatened,Wherever found
328,Campanula robinsiae,Brooksville bellflower,Q1TV,P01,4,Endangered,Wherever found
329,Campeloma decampi,Slender campeloma,G098,I01,4,Endangered,Wherever found
330,Campephilus imperialis,Imperial woodpecker,B03P,V01,Foreign,Endangered,Wherever found
331,Campephilus principalis,Ivory-billed woodpecker,B03Q,V01,4,Endangered,Wherever found
332,Canavalia molokaiensis,`Awikiwiki,Q1TX,P01,1,Endangered,Wherever found
333,Canavalia napaliensis,`Awikiwiki,Q1TY,P01,1,Endangered,Wherever found
334,Canavalia pubescens,`Awikiwiki,Q0BB,P01,1,Endangered,Wherever found
335,Canis lupus,Gray wolf,A00D,V01,6,Endangered,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA as follows: (1) Northern AZ (that portion north of the centerline of Interstate Highway 40); (2) Northern NM (that portion north of the centerline of Interstate Highway 40); (3) Western OR (that portion of OR west of the centerline of Highway 395 and Highway 78 north of Burns Junction and that portion of OR west of the centerline of Highway 95 south of Burns Junction); (4) Most of Utah (that portion of UT south and west of the centerline of Highway 84 and that portion of UT south of Highway 80 from Echo to the UT/WY Stateline); and (5) Western WA (that portion of WA west of the centerline of Highway 97 and Highway 17 north of Mesa and that portion of WA west of the centerline of Highway 395 south of Mesa). Mexico."
336,Canis lupus,Gray wolf,A00D,V02,3,Threatened,U.S.A. (MN)
337,Canis lupus baileyi,Mexican wolf,A00E,V01,2,Endangered,"Wherever found, except where included in an experimental population as set forth in 17.84(k)"
338,Canis rufus,Red wolf,A00F,V01,4,Endangered,"Wherever found, except where listed as an experimental population"
339,Canis simensis,Simien fox,A07K,V01,Foreign,Endangered,Wherever found
340,Cantharellus noumeae,No common name,P020,I01,NMFS,Endangered,Entire
341,Capra falconeri (=aegragrus) chiltanensis,Chiltan (=wild goat) markhor,A05B,V01,Foreign,Endangered,Wherever found
342,Capra falconeri megaceros,Straight-horned markhor,A05R,V01,Foreign,Threatened,Wherever found
343,Capra pyrenaica pyrenaica,Pyrenean ibex,A01C,V01,Foreign,Endangered,Wherever found
344,Capra walie,Walia ibex,A01D,V01,Foreign,Endangered,Wherever found
345,Caprimulgus noctitherus,Puerto Rican nightjar,B04J,V01,4,Endangered,Wherever found
346,Caprolagus hispidus,Hispid hare,A05D,V01,Foreign,Endangered,Wherever found
347,Capromys angelcabrerai,Cabrera's hutia,A0FH,V01,Foreign,Endangered,Wherever found
348,Capromys auritus,Large-eared hutia,A0FJ,V01,Foreign,Endangered,Wherever found
349,Capromys nana,Dwarf hutia,A0FI,V01,Foreign,Endangered,Wherever found
350,Capromys sanfelipensis,Little earth hutia,A0FK,V01,Foreign,Endangered,Wherever found
351,Cardamine micranthera,Small-anthered bittercress,Q1U0,P01,4,Endangered,Wherever found
352,Carduelis cucullata,Red siskin,B05N,V01,Foreign,Endangered,Wherever found
353,Caretta caretta,Loggerhead sea turtle,C00U,V02,4,Threatened,Northwest Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northwest Atlantic Ocean west of 40 degrees W. Long
354,Caretta caretta,Loggerhead sea turtle,C00U,V03,4,Endangered,North Pacific Ocean DPS - Loggerhead sea turtles originating from the North Pacific north of the equator and south of 60 degrees N. Lat
355,Caretta caretta,Loggerhead sea turtle,C00U,V04,Foreign,Endangered,Mediterranean Sea DPS - Loggerhead sea turtles originating from the Mediterranean Sea east of 5 degrees 36 minues W. Long.
356,Caretta caretta,Loggerhead sea turtle,C00U,V05,Foreign,Endangered,North Indian Ocean DPS - Loggerhead sea turtles originating from the North Indian Ocean north of the equator and south of 30? N. Lat
357,Caretta caretta,Loggerhead sea turtle,C00U,V06,Foreign,Endangered,"Northeast Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northeast Atlantic Ocean north of the equator, south of 60 degrees N. Lat., and east of 40 degrees W. Long., except in the vicinity of the Strait of Gibraltar where the eastern boundary is 5 degrees 36 minutes W. Long"
358,Caretta caretta,Loggerhead sea turtle,C00U,V07,Foreign,Threatened,"Loggerhead sea turtles originating from the South Atlantic Ocean south of the equator, north of 60 degrees S. Lat., west of 20 degrees E. Long., and east of 67 degrees W. Long"
359,Caretta caretta,Loggerhead sea turtle,C00U,V08,Foreign,Endangered,"Loggerhead sea turtles originating from the South Pacific south of the equator, north of 60 degrees S. Lat., west of 67 degrees W. Long., and east of 141 degrees E. Long."
360,Caretta caretta,Loggerhead sea turtle,C00U,V09,Foreign,Threatened,"Loggerhead sea turtles originating from the Southeast Indian Ocean south of the equator, north of 60 degrees S. Lat., and east of 80 degrees E. Long.; South Pacific Ocean south of the equator, north of 60degrees S. Lat., and west of 141 degrees E. Long"
361,Caretta caretta,Loggerhead sea turtle,C00U,V10,Foreign,Threatened,"Loggerhead sea turtles originating from the Southwest Indian Ocean north of the equator, south of 30 degrees N. Lat., east of 20 degrees E. Long., and west of 80 degrees E. Long."
362,Carex albida,White sedge,Q0BL,P01,8,Endangered,Wherever found
363,Carex lutea,Golden sedge,Q3HD,P01,4,Endangered,Wherever found
364,Carex specuicola,Navajo sedge,Q1U1,P01,2,Threatened,Wherever found
365,Casarea dussumieri,Round Island casarea boa,C02O,V01,Foreign,Endangered,Wherever found
366,Castilleja affinis ssp. neglecta,Tiburon paintbrush,Q26R,P01,8,Endangered,Wherever found
367,Castilleja campestris ssp. succulenta,Fleshy owl's-clover,Q0CG,P01,8,Threatened,Wherever found
368,Castilleja cinerea,Ash-grey paintbrush,Q0CL,P01,8,Threatened,Wherever found
369,Castilleja grisea,San Clemente Island Paintbrush,Q1U2,P01,8,Threatened,Wherever found
370,Castilleja levisecta,golden paintbrush,Q26U,P01,1,Threatened,Wherever found
371,Castilleja mollis,Soft-leaved paintbrush,Q0D1,P01,8,Endangered,Wherever found
372,Castor fiber birulai,Beaver (Mongolian),A04R,V01,Foreign,Endangered,Wherever found
373,Catesbaea melanocarpa,No common name,Q30M,P01,4,Endangered,Wherever found
374,Catopuma (=Felis) temminckii,Asian golden (=Temmnick's) cat,A050,V01,Foreign,Endangered,Wherever found
375,Catostomus discobolus yarrowi,Zuni bluehead Sucker,E063,V01,2,Endangered,Wherever found
376,Catostomus santaanae,Santa Ana sucker,E07W,V01,8,Threatened,"Los Angeles River basin, San Gabriel River basin, Santa Ana River basin"
377,Catostomus warnerensis,Warner sucker,E057,V01,1,Threatened,Wherever found
378,Catreus wallichii,Cheer pheasant,B06J,V01,Foreign,Endangered,Wherever found
379,Caulanthus californicus,California jewelflower,Q2Y8,P01,8,Endangered,Wherever found
380,Ceanothus ferrisae,Coyote ceanothus,Q1U3,P01,8,Endangered,Wherever found
381,Ceanothus ophiochilus,Vail Lake ceanothus,Q3AH,P01,8,Threatened,Wherever found
382,Ceanothus roderickii,Pine Hill ceanothus,Q0DK,P01,8,Endangered,Wherever found
383,Cenchrus agrimonioides,Kamanomano,Q1U4,P01,1,Endangered,Wherever found
384,Centaurium namophilum,Spring-loving centaury,Q1U5,P01,8,Threatened,Wherever found
385,Centrocercus minimus,Gunnison sage-grouse,B0B0,V01,6,Threatened,Wherever found
386,Cephalophus jentinki,Jentink's duiker,A07I,V01,Foreign,Endangered,Wherever found
387,Cephalorhynchus hectori hectori,South Island Hector's dolphin,A0LD,V01,NMFS,Threatened,Entire
388,Cephalorhynchus hectori maui,Maui dolphin,A0LC,V01,NMFS,Endangered,Entire
389,Ceratotherium simum cottoni,Northern white rhinoceros,A025,V01,Foreign,Endangered,"Zaire, Uganda, Sudan, Central African Republic"
390,Ceratotherium simum ssp. simum,Southern white rhinoceros,A0KU,V01,Foreign,Similarity of Appearance to a Threatened Taxon,Wherever found
391,Cercocarpus traskiae,Catalina Island mountain-mahogany,Q0DQ,P01,8,Endangered,Wherever found
392,Cercocebus galeritus galeritus,Tana River mangabey,A01P,V01,Foreign,Endangered,Wherever found
393,Cercocebus torquatus,White-collared mangabey,A06P,V01,Foreign,Endangered,Wherever found
394,Cercopithecus diana,Diana monkey,A06T,V01,Foreign,Endangered,Wherever found
395,Cercopithecus erythrogaster,Red-bellied monkey,A06V,V01,Foreign,Endangered,Wherever found
396,Cercopithecus erythrotis,Red-eared nose-spotted monkey,A06W,V01,Foreign,Endangered,Wherever found
397,Cercopithecus lhoesti,L'hoest's monkey,A06U,V01,Foreign,Endangered,Wherever found
398,Cereus eriophorus var. fragrans,Fragrant prickly-apple,Q1U6,P01,4,Endangered,Wherever found
399,Cervus alfredi,Visayan deer,A0FT,V01,Foreign,Endangered,Wherever found
400,Cervus duvauceli,Swamp deer,A00Y,V01,Foreign,Endangered,Wherever found
401,Cervus elaphus bactrianus,Bactrian deer,A053,V01,Foreign,Endangered,Wherever found
402,Cervus elaphus barbarus,Barbary stag,A067,V01,Foreign,Endangered,Wherever found
403,Cervus elaphus barbarus,Barbary deer,A054,V01,Foreign,Endangered,Wherever found
404,Cervus elaphus corsicanus,Corsican red deer,A07B,V01,Foreign,Endangered,Wherever found
405,Cervus elaphus hanglu,Kashmir stag,A02X,V01,Foreign,Endangered,Wherever found
406,Cervus elaphus macneilii,McNeill's deer,A00W,V01,Foreign,Endangered,Wherever found
407,Cervus elaphus wallichi,Shou,A02B,V01,Foreign,Endangered,Wherever found
408,Cervus elaphus yarkandensis,Yarkand deer,A07H,V01,Foreign,Endangered,Wherever found
409,Cervus eldi,Eld's brow-antlered Deer,A00U,V01,Foreign,Endangered,Wherever found
410,Cervus nippon grassianus,Shansi sika deer,A07F,V01,Foreign,Endangered,Wherever found
411,Cervus nippon keramae,Ryukyu sika deer,A07E,V01,Foreign,Endangered,Wherever found
412,Cervus nippon kopschi,South China sika deer,A07G,V01,Foreign,Endangered,Wherever found
413,Cervus nippon mandarinus,North China sika deer,A07D,V01,Foreign,Endangered,Wherever found
414,Cervus nippon taiouanus,Formosan sika deer,A07C,V01,Foreign,Endangered,Wherever found
415,Chaeropus ecaudatus,Pig-footed bandicoot,A030,V01,Foreign,Endangered,Wherever found
416,Chaetocercus berlepschi,Esmeraldas woodstar,B0BP,V01,Foreign,Endangered,Wherever found
417,Chaetomys subspinosus,Thin-spined porcupine,A021,V01,Foreign,Endangered,Wherever found
418,Chamaecrista glandulosa var. mirabilis,No common name,Q26W,P01,4,Endangered,Wherever found
419,Chamaecrista lineata keyensis,Big Pine partridge pea,Q0E3,P01,4,Endangered,Wherever found
420,Chamaesyce deltoidea pinetorum,Pineland sandmat,Q3HI,P01,4,Threatened,Wherever found
421,Chamaesyce deltoidea serpyllum,Wedge spurge,Q0E7,P01,4,Endangered,Wherever found
422,Chamaesyce deltoidea ssp. deltoidea,Deltoid spurge,Q26X,P01,4,Endangered,Wherever found
423,Chamaesyce garberi,Garber's spurge,Q1U9,P01,4,Threatened,Wherever found
424,Chamaesyce hooveri,Hoover's spurge,Q0E9,P01,8,Threatened,Wherever found
425,Charadrius melodus,Piping Plover,B079,V01,3,Endangered,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)"
426,Charadrius melodus,Piping Plover,B079,V02,5,Threatened,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered."
427,Charadrius nivosus nivosus,Western snowy plover,B07C,V01,8,Threatened,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)"
428,Charpentiera densiflora,Papala,Q0EF,P01,1,Endangered,Wherever found
429,Chasiempis ibidis,Oahu elepaio,B0AL,V01,1,Endangered,Wherever found
430,Chasmistes brevirostris,Shortnose Sucker,E055,V01,8,Endangered,Wherever found
431,Chasmistes cujus,Cui-ui,E001,V01,8,Endangered,Wherever found
432,Chasmistes liorus,June sucker,E050,V01,6,Endangered,Wherever found
433,Chelonia mydas,Green sea turtle,C00S,V03,1,Threatened,"Green sea turtles originating from the Central North Pacific Ocean, bounded by the following coordinates: 41 degrees N., 169 degrees E. in the northwest; 41 degrees N., 143 degrees W. in the northeast; 9 degrees N., 125 degrees W. in the southeast; and 9 degrees N., 175 degrees W. in the southwest Pacific coast of Mexico"
434,Chelonia mydas,Green sea turtle,C00S,V04,1,Endangered,"Green sea turtles originating from the Central South Pacific Ocean, bounded by the following coordinates: 9 degrees N., 175 degrees W. in the northwest; 9 degrees N., 125 degrees W. in the northeast; 40 degrees S., 96 degrees W. in the southeast; 40 degrees S., 176 degrees E. in the southwest; and 13 degrees S., 171 degrees E. in the west"
435,Chelonia mydas,Green sea turtle,C00S,V05,1,Endangered,"Green sea turtles originating from the Central West Pacific Ocean, bounded by the following coordinates: 41 degrees N., 146 degrees E. in the northwest; 41 degrees N., 169 degrees E. in the northeast; 9 degrees N., 175 degrees W. in the east; 13 degrees S., 171 degrees E. in the southeast; along the northern coast of the island of New Guinea; and 4.5 degrees N., 129 degrees E. in the west"
436,Chelonia mydas,Green sea turtle,C00S,V06,Foreign,Threatened,"Green sea turtles originating from the Eastern Indian and Western Pacific Oceans, bounded by the following lines and coordinates: 41 degrees N. Lat. in the north, 41 degrees N., 146 degrees E. in the northeast; 4.5 degrees N., 129 degrees E. in the southeast; along the southern coast of the island of New Guinea; along the western coast of Australia (west of 142 degrees E. Long.); 40 degrees S. Lat. in the south; and 84 degrees E. Long. in the east"
437,Chelonia mydas,Green sea turtle,C00S,V07,Foreign,Endangered,"Green sea turtles originating from the Mediterranean Sea, bounded by 5.5 degrees W. Long. in the west"
438,Chelonia mydas,Green sea turtle,C00S,V08,Foreign,Threatened,"Green sea turtles originating from the North Indian Ocean, bounded by: Africa and Asia in the west and north; 84 degrees E. Long. in the east; and the equator in the south"
439,Chelonia mydas,Green sea turtle,C00S,V09,Foreign,Threatened,"Green sea turtles originating from the Southwest Indian Ocean, bounded by the following lines: the equator to the north; 84 degrees E. Long. to the east; 40 degrees S. Lat. to the south; and 19 degrees E. Long (and along the eastern coast of Africa) in the west"
440,Chelonia mydas,Green sea turtle,C00S,V10,Foreign,Threatened,"Green sea turtles originating from the Southwest Pacific Ocean, bounded by the following lines and coordinates: along the southern coast of the island of New Guinea and the Torres Strait (east of 142 degrees E Long.); 13 degrees S., 171 degrees E. in the northeast; 40 degrees S., 176 degrees E. in the southeast; and 40 degrees S., 142 degrees E. in the southwest"
441,Chelonia mydas,Green sea turtle,C00S,V11,8,Threatened,"Green sea turtles originating from the East Pacific Ocean, bounded by the following lines and coordinates: 41 degrees N., 143 degrees W. in the northwest; 41 degrees N. Lat. in the north; along the western coasts of the Americas; 40 degrees S. Lat. in the south; and 40 degrees S., 96 degrees W. in the southwest"
442,Chelonia mydas,Green sea turtle,C00S,V12,4,Threatened,"Green sea turtles originating from the North Atlantic Ocean, bounded by the following lines and coordinates: 48 degrees N. Lat. in the north, along the western coasts of Europe and Africa (west of 5.5 degrees W. Long.); north of 19 degrees N. Lat. in the east; bounded by 19 degrees N., 65.1 degrees W. to 14 degrees N., 65.1 degrees W. then 14 degrees N., 77 degrees W. in the south and west; and along the eastern coasts of the Americas (north of 7.5 degrees N., 77 degrees W.)"
443,Chelonia mydas,Green sea turtle,C00S,V13,4,Threatened,"Green sea turtles originating from the South Atlantic Ocean, bounded by the following lines and coordinates: along the northern and eastern coasts of South America (east of 7.5 degrees N., 77 degrees W.); 14 degrees N., 77 degrees W. to 14 degrees N., 65.1 degrees W. to 19 degrees N., 65.1 degrees W. in the north and west; 19 degrees N. Lat. in the northeast; 40 degrees S., 19 degrees E. in the southeast; and 40 degrees S. Lat. in the south"
444,Chinchilla brevicaudata boliviana,Chinchilla,A052,V01,Foreign,Endangered,Wherever found
445,Chionanthus pygmaeus,Pygmy fringe-tree,Q26Y,P01,4,Endangered,Wherever found
446,Chiropotes albinasus,White-nosed saki,A027,V01,Foreign,Endangered,Wherever found
