Pyrrhula pyrrhula murina,"Bullfinch, Sao Miguel (finch)",Endangered
Malaconotus alius,"Bush-shrike, Ulugura",Threatened
Xenicus longipes,"Bushwren, New Zealand",Endangered
Ardeotis (=Choriotis) nigriceps,"Bustard, great Indian",Endangered
Pterodroma cahow,Cahow,Endangered
Tetrao urogallus cantabricus,"Capercaillie, Cantabrian",Endangered
Polyborus plancus audubonii,"Caracara, crested, (Audubon's) [FL DPS]",Threatened
Cinclodes aricomae,"Cinclodes, royal",Endangered
Cacatua haematuropygia,"Cockatoo, Philippine",Endangered
Cacatua moluccensis,"Cockatoo, salmon-crested",Threatened
Cacatua alba,"Cockatoo, white",Threatened
Cacatua sulphurea,"Cockatoo, yellow-crested",Endangered
Vultur gryphus,"Condor, Andean",Endangered
Gymnogyps californianus,"Condor, California",Endangered
Gymnogyps californianus,"Condor, California",XN
Fulica americana alai,"Coot, Hawaiian",Endangered
Cotinga maculata,"Cotinga, banded",Endangered
Xipholena atropurpurea,"Cotinga, white-winged",Endangered
Rhinoptilus bitorquatus,"Courser, Jerdon's",Endangered
Grus nigricollis,"Crane, black-necked",Endangered
Grus canadensis nesiotes,"Crane, Cuba sandhill",Endangered
Grus monacha,"Crane, hooded",Endangered
Grus japonensis,"Crane, Japanese",Endangered
Grus canadensis pulla,"Crane, Mississippi sandhill",Endangered
Grus leucogeranus,"Crane, Siberian white",Endangered
Grus vipio,"Crane, white-naped",Endangered
Grus americana,"Crane, whooping",Endangered
Grus americana,"Crane, whooping",XN
Oreomystis mana,"Creeper, Hawaii",Endangered
Paroreomyza flammea,"Creeper, Molokai",Endangered
Paroreomyza maculata,"Creeper, Oahu",Endangered
Corvus hawaiiensis,"Crow, Hawaiian",Endangered
Corvus kubaryi,"Crow, Mariana",Endangered
Corvus leucognaphalus,"Crow, white-necked",Endangered
Coccyzus americanus,"Cuckoo, yellow-billed [Western DPS]",Threatened
Coquus typicus,"Cuckoo-shrike, Mauritius",Endangered
Coquus newtoni,"Cuckoo-shrike, Reunion",Endangered
Crax alberti,"Curassow, blue-billed",Endangered
Mitu mitu mitu,"Curassow, razor-billed",Endangered
Crax blumenbachii,"Curassow, red-billed",Endangered
Pipile pipile pipile,"Curassow, Trinidad white-headed",Endangered
Numenius borealis,"Curlew, Eskimo",Endangered
Numenius tenuirostris,"Curlew, slender-billed",Endangered
Drepanoptila holosericea,"Dove, cloven-feathered",Endangered
Leptotila rufaxilla wellsi,"Dove, Grenada gray-fronted",Endangered
Anas wyvilliana,"Duck, Hawaiian",Endangered
Anas laysanensis,"Duck, Laysan",Endangered
Rhodonessa caryophyllacea,"Duck, pink-headed",Endangered
Cairina scutulata,"Duck, white-winged wood",Endangered
Haliaeetus albicilla groenlandicus,"Eagle, Greenland white-tailed",Endangered
Harpia harpyja,"Eagle, harpy",Endangered
Haliaeetus vociferoides,"Eagle, Madagascar sea",Endangered
Eutriorchis astur,"Eagle, Madagascar serpent",Endangered
Pithecophaga jefferyi,"Eagle, Philippine",Endangered
Aquila heliaca adalberti,"Eagle, Spanish imperial",Endangered
Egretta eulophotes,"Egret, Chinese",Endangered
